Unidad Primaria de Muestreo,Vivienda seleccionada,Consecutivo del hogar en la vivienda,Consecutivo del residente habitual miembro del hogar,,Clave Llave única para cada migrante internacional delcalrado en el hogar en la base (UPM+VIV_SEL+HOGAR+N_REN),Clave única de identificación del hogar (UPM+VIV_SEL+ HOGAR),Clave única de identificación de la vivienda (UPM+VIV_SEL+HOGAR),Clave de Entidad Federativa de levantamiento de la información,Clave de tamaño de localidad,"P4.4 Cuando (NOMBRE) se fue la última vez, ¿vivía con ustedes?",P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?,P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?  (Otra entidad),P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?  (Otro país),P4.6 (NOMBRE) es hombre o mujer,P4.7 ¿Qué es (NOMBRE) de la jefa o jefe del hogar?,P4.7 ¿Qué es (NOMBRE) de la jefa o jefe del hogar? (Otro parentesco),"P4.8 La última vez que (NOMBRE) se fue, ¿cuántos años cumplidos tenía?","P4.9 La última vez que (NOMBRE) se fue a vivir a otro país, ¿en qué estado de la República Mexicana vivía?","P4.9 La última vez que (NOMBRE) se fue a vivir a otro país, ¿en qué estado de la República Mexicana vivía? (Otra entidad)",P4.10 ¿En qué mes y año se fue a vivir (NOMBRE) a otro país la última vez? (Mes),P4.10 ¿En qué mes y año se fue a vivir (NOMBRE) a otro país la última vez? (Año),P4.11 ¿A qué país se fue (NOMBRE) la última vez?,P4.11 ¿A qué país se fue (NOMBRE) la última vez? (Otro país),P4.12 ¿A qué estado de EUA llegó (NOMBRE) a vivir (la última vez)?,P4.12C ¿A qué estado de EUA llegó (NOMBRE) a vivir (la última vez)? (Otro estado),"P4.13 Cuando (NOMBRE) se fue la última vez, ¿qué tipo de documento llevaba?",P4.14 ¿Cuál fue el motivo principal por el que (NOMBRE) se fue la última vez?,P4.14A ¿Se fue a buscar trabajo? ¿Con trabajo?,,P4.15 ¿En qué país vive actualmente (NOMBRE)?,P4.15 ¿En qué país vive actualmente (NOMBRE)? (Otro país),P4.16 ¿En qué estado de EUA vive actualmente (NOMBRE)?,,"P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía?","P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía? (Otro estado)","P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía? (Otro país)",P4.18 ¿En qué mes y año regresó (NOMBRE) a vivir a la República Mexicana? (Mes),P4.18 ¿En qué mes y año regresó (NOMBRE) a vivir a la República Mexicana? (Año),P4.19 ¿Cuál fue el motivo principal por el que (NOMBRE) se regresó?,P4.19 ¿Cuál fue el motivo principal por el que (NOMBRE) se regresó? (Otro motivo),P4.20 (NOMBRE) actualmente forma parte de este hogar?,P4.20 Número de renglón en la lista de personas,Factor de expansión a nivel vivienda,"Tamaño de localidad, segunda agrupación","Tamaño de localidad, tercera agrupación",P4.8.AG1 Edad al emigrar ( grupos quinquenales),P4.8.AG2 Edad al emigrar por grandes grupos,Condición de tenencia de documento para ingresar a EUA,Condición de retorno a México,Duración de migración (en meses),Duración de migración (agrupado),Estrato sociodemográfico,Estrato de diseño muestral,Unidad Primaria de Muestreo
3202395,20,1,1,320240000000.0,,3202395201,320239520,Zacatecas,Localidad de 2 500 a 14 999 habitantes,Sí,En Estados Unidos de América,,,Mujer,Nuera/yerno,,21,"Aquí, en este estado",,Agosto,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Illinois,,Es ciudadano(a) estadounidense,Otro motivo,,No sabe,1,ESTADOS UNIDOS DE AMERICA,Illinois,ILLINOIS,,,,,,,,,,111,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,605,15147
2604764,2,1,1,260476000000.0,260476000000.0,2604764021,260476402,Sonora,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sonora,,Hombre,Otro,Hermana o hermano,32,"Aquí, en este estado",,Septiembre,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,OKLAHOMA,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,Otro estado,OKLAHOMA,,Febrero,2018.0,Le deportaron (regresaron),,Sí,2.0,194,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,30 a 34 años,30 a 59 años,Con documento,Retornó,41.0,De 3 a 5 años,Medio bajo,462,12482
2606401,5,1,1,260640000000.0,,2606401051,260640105,Sonora,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Sonora,,Hombre,Hija(o),,34,"Aquí, en este estado",,Junio,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Estudiar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,305,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,30 a 34 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,475,12563
1160709,13,1,1,116071000000.0,,1160709131,116070913,Guanajuato,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Guanajuato,,Hombre,Jefa(e),,64,"Aquí, en este estado",,Febrero,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,UTAH,Es ciudadano(a) estadounidense,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,UTAH,,,,,,,,,,494,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,60 a 64 años,60 y más años,Con documento,No retornó,,,Bajo,195,5649
1860362,19,1,1,186036000000.0,,1860362191,186036219,Nayarit,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Nayarit,,Hombre,Esposa(o) o compañera(o),,39,"Aquí, en este estado",,Abril,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,OHIO,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,OHIO,,,,,,,,,,129,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,326,8582
1860362,20,1,1,186036000000.0,,1860362201,186036220,Nayarit,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Nayarit,,Hombre,Jefa(e),,33,"Aquí, en este estado",,Abril,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,CAROLINA DEL NORTE,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,CAROLINA DEL NORTE,,,,,,,,,,129,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,30 a 34 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,326,8582
1860391,10,1,1,186039000000.0,,1860391101,186039110,Nayarit,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Nayarit,,Hombre,Jefa(e),,36,"Aquí, en este estado",,Abril,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,WASHINGTON,,,,,,,,,,123,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,Sin documento,No retornó,,,Bajo,325,8585
1860391,11,1,1,186039000000.0,,1860391111,186039111,Nayarit,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Nayarit,,Hombre,Hija(o),,20,"Aquí, en este estado",,Noviembre,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Es ciudadano(a) estadounidense,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,123,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Bajo,325,8585
2060968,2,1,1,206097000000.0,,2060968021,206096802,Oaxaca,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Oaxaca,,Mujer,Hija(o),,38,"Aquí, en este estado",,Julio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,OHIO,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,OHIO,,,,,,,,,,376,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,Sin documento,No retornó,,,Bajo,360,9479
1000658,4,1,1,100066000000.0,100066000000.0,1000658041,100065804,Durango,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Durango,,Hombre,Jefa(e),,30,"Aquí, en este estado",,Junio,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Visa de turista,Buscar trabajo o trabajar,,,2,,,,Texas,,,Agosto,2017.0,Otro motivo,Estudiar o trabajar en México,Sí,1.0,159,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,30 a 34 años,30 a 59 años,Con documento,Retornó,2.0,Menos de un año,Alto,161,4906
2760584,17,1,1,276058000000.0,276058000000.0,2760584171,276058417,Tabasco,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Tabasco,,Hombre,Jefa(e),,38,"Aquí, en este estado",,Abril,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Ningún documento,Buscar trabajo o trabajar,,,2,,,,Texas,,,Junio,2016.0,Reunirse con la familia,,Sí,1.0,188,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,Sin documento,Retornó,2.0,Menos de un año,Bajo,490,12853
1703147,19,1,1,170315000000.0,,1703147191,170314719,Morelos,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Morelos,,Hombre,Esposa(o) o compañera(o),,47,"Aquí, en este estado",,Abril,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,WASHINGTON,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,WASHINGTON,,,,,,,,,,152,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,45 a 49 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,313,8164
2807664,10,1,1,280766000000.0,,2807664101,280766410,Tamaulipas,Localidad de 15 000 a 99 999 habitantes,Sí,En Estados Unidos de América,,,Mujer,Hija(o),,10,"Aquí, en este estado",,Agosto,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Es ciudadano(a) estadounidense,Estudiar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,299,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,10 a 14 años,00 a 17 años,Con documento,No retornó,,,Medio alto,515,13482
2106892,20,1,1,210689000000.0,,2106892201,210689220,Puebla,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Puebla,,Hombre,Esposa(o) o compañera(o),,29,"Aquí, en este estado",,Julio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Nueva York,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Nueva York,NUEVA YORK,,,,,,,,,,483,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Sin documento,No retornó,,,Medio bajo,379,9844
160147,13,1,1,16014713101.0,,160147131,16014713,Aguascalientes,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Hombre,Esposa(o) o compañera(o),,35,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,OKLAHOMA,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,OKLAHOMA,,,,,,,,,,118,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,12,513
160161,8,1,1,16016108101.0,16016108101.0,160161081,16016108,Aguascalientes,Localidad menor de 2 500 habitantes,Sí,En otro estado,Guanajuato,,Hombre,Jefa(e),,28,"Aquí, en este estado",,Marzo,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,OKLAHOMA,Ningún documento,Buscar trabajo o trabajar,,,2,,,,Otro estado,OKLAHOMA,,Octubre,2016.0,Reunirse con la familia,,Sí,1.0,75,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Sin documento,Retornó,31.0,De un año a 3 años,Medio bajo,12,517
2504898,9,1,1,250490000000.0,,2504898091,250489809,Sinaloa,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Sinaloa,,Mujer,Hija(o),,23,"Aquí, en este estado",,Enero,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Visa de turista,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Arizona,ARIZONA,,,,,,,,,,240,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,446,11965
1107824,7,1,1,110782000000.0,,1107824071,110782407,Guanajuato,Localidad de 15 000 a 99 999 habitantes,Sí,En Estados Unidos de América,,,Hombre,Hija(o),,15,"Aquí, en este estado",,Agosto,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Es ciudadano(a) estadounidense,Estudiar,,,2,,,,California,,,Mayo,2018.0,Terminó estudios,,No,,518,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,15 a 19 años,18 a 29 años,Con documento,Retornó,33.0,De un año a 3 años,Medio bajo,189,5603
1703172,14,1,1,170317000000.0,,1703172141,170317214,Morelos,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Morelos,,Hombre,Esposa(o) o compañera(o),,25,"Aquí, en este estado",,Agosto,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Nueva York,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Nueva York,NUEVA YORK,,,,,,,,,,158,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Sin documento,No retornó,,,Bajo,310,8167
1261125,18,1,3,126113000000.0,126113000000.0,1261125181,126112518,Guerrero,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Guerrero,,Hombre,Hija(o),,22,"Aquí, en este estado",,Enero,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Ningún documento,Inseguridad pública o violencia,,,2,,,,California,,,Mayo,2017.0,Le deportaron (regresaron),,Sí,3.0,349,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Sin documento,Retornó,28.0,De un año a 3 años,Bajo,215,5999
1261125,18,1,2,126113000000.0,126113000000.0,1261125181,126112518,Guerrero,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Guerrero,,Hombre,Hija(o),,21,"Aquí, en este estado",,Enero,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Ningún documento,Buscar trabajo o trabajar,,,2,,,,California,,,Mayo,2017.0,Le deportaron (regresaron),,Sí,10.0,349,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Sin documento,Retornó,28.0,De un año a 3 años,Bajo,215,5999
102172,7,1,1,10217207101.0,,102172071,10217207,Aguascalientes,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Hombre,Hija(o),,17,"Aquí, en este estado",,Julio,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,COLORADO,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,COLORADO,,,,,,,,,,94,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,15 a 19 años,18 a 29 años,Sin documento,No retornó,,,Medio alto,8,474
2060960,7,1,1,206096000000.0,,2060960071,206096007,Oaxaca,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Oaxaca,,Hombre,Hija(o),,22,"Aquí, en este estado",,Enero,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Ningún documento,Buscar trabajo o trabajar,,,2,,,,California,,,Noviembre,2017.0,Otro motivo,Otro motivo,No,,335,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Sin documento,Retornó,46.0,De 3 a 5 años,Bajo,360,9477
2605007,4,1,1,260501000000.0,,2605007041,260500704,Sonora,Localidad de 100 000 y más habitantes,Sí,En otro estado,Durango,,Mujer,Esposa(o) o compañera(o),,46,"Aquí, en este estado",,Agosto,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Permiso para residir,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Arizona,ARIZONA,,,,,,,,,,249,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,45 a 49 años,30 a 59 años,Con documento,No retornó,,,Medio alto,463,12507
2605007,4,1,2,260501000000.0,,2605007041,260500704,Sonora,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sonora,,Hombre,Hija(o),,23,"Aquí, en este estado",,Noviembre,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Permiso para residir,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Arizona,ARIZONA,,,,,,,,,,249,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio alto,463,12507
2605007,4,1,3,260501000000.0,,2605007041,260500704,Sonora,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sonora,,Mujer,Hija(o),,11,"Aquí, en este estado",,Agosto,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Permiso para residir,Estudiar,,,1,ESTADOS UNIDOS DE AMERICA,Arizona,ARIZONA,,,,,,,,,,249,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,10 a 14 años,00 a 17 años,Con documento,No retornó,,,Medio alto,463,12507
2001853,6,1,1,200185000000.0,200185000000.0,2001853061,200185306,Oaxaca,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Oaxaca,,Hombre,Jefa(e),,57,"Aquí, en este estado",,Julio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Es ciudadano(a) estadounidense,Reunirse con la familia,,,2,,,,Texas,,,Agosto,2018.0,Reunirse con la familia,,Sí,1.0,473,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,55 a 59 años,30 a 59 años,Con documento,Retornó,1.0,Menos de un año,Medio bajo,355,9385
401403,4,1,1,40140304101.0,,401403041,40140304,Campeche,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Campeche,,Hombre,Jefa(e),,39,"Aquí, en este estado",,Abril,2018,Otro país,CANADA,,,,Buscar trabajo o trabajar,,,3,CANADA,,,,,,,,,,,,84,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,,No retornó,,,Bajo,60,1984
2760379,3,1,1,276038000000.0,,2760379031,276037903,Tabasco,Localidad menor de 2 500 habitantes,Sí,En otro estado,Veracruz de Ignacio de la Llave,,Hombre,Hija(o),,18,En otro estado,Veracruz de Ignacio de la Llave,Agosto,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,GEORGIA,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,MISSISSIPPI,,,,,,,,,,152,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,15 a 19 años,18 a 29 años,Sin documento,No retornó,,,Bajo,490,12844
600128,5,1,1,60012805101.0,60012805103.0,600128051,60012805,Colima,Localidad de 100 000 y más habitantes,Sí,En otro estado,Jalisco,,Mujer,Hija(o),,29,"Aquí, en este estado",,Noviembre,2013,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Visa de turista,Reunirse con la familia,,,2,,,,California,,,Diciembre,2017.0,Falta de trabajo,,Sí,3.0,56,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,Con documento,Retornó,49.0,De 3 a 5 años,Medio alto,95,2639
1003317,14,1,1,100332000000.0,,1003317141,100331714,Durango,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Durango,,Hombre,Esposa(o) o compañera(o),,28,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,CAROLINA DEL NORTE,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,CAROLINA DEL NORTE,,,,,,,,,,149,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,168,5211
160041,4,1,1,16004104101.0,,160041041,16004104,Aguascalientes,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Hombre,Esposa(o) o compañera(o),,52,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,78,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,50 a 54 años,30 a 59 años,Sin documento,No retornó,,,Medio bajo,12,503
2660603,7,1,1,266060000000.0,,2660603071,266060307,Sonora,Localidad menor de 2 500 habitantes,Sí,En otro estado,Baja California,,Hombre,Hija(o),,27,"Aquí, en este estado",,Septiembre,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Arizona,ARIZONA,,,,,,,,,,276,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Bajo,476,12592
2660603,19,1,1,266060000000.0,266060000000.0,2660603191,266060319,Sonora,Localidad menor de 2 500 habitantes,Sí,En otro estado,Baja California,,Hombre,Jefa(e),,27,"Aquí, en este estado",,Abril,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,California,,,Julio,2016.0,Falta de trabajo,,Sí,1.0,276,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Con documento,Retornó,3.0,Menos de un año,Bajo,476,12592
1261621,8,1,1,126162000000.0,,1261621081,126162108,Guerrero,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Guerrero,,Hombre,Esposa(o) o compañera(o),,22,"Aquí, en este estado",,Marzo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,369,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Sin documento,No retornó,,,Bajo,215,6016
301208,16,1,1,30120816101.0,,301208161,30120816,Baja California Sur,Localidad de 2 500 a 14 999 habitantes,Sí,En otro estado,Durango,,Mujer,Esposa(o) o compañera(o),,40,"Aquí, en este estado",,Febrero,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Visa de turista,Otro motivo,,No sabe,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,62,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,40 a 44 años,30 a 59 años,Con documento,No retornó,,,Medio alto,47,1544
101082,5,1,1,10108205101.0,10108205101.0,101082051,10108205,Aguascalientes,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Hombre,Jefa(e),,22,"Aquí, en este estado",,Agosto,2017,Otro país,REINO DE ESPAÑA,,,,Estudiar,,,2,,,,Otro país,,REINO DE ESPAÑA,Febrero,2018.0,Terminó estudios,,Sí,1.0,124,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,,Retornó,6.0,Menos de un año,Medio alto,2,251
2560194,4,1,1,256019000000.0,,2560194041,256019404,Sinaloa,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Sinaloa,,Hombre,Esposa(o) o compañera(o),,29,"Aquí, en este estado",,Mayo,2018,Otro país,CANADA,,,,Buscar trabajo o trabajar,,,3,CANADA,,,,,,,,,,,,207,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,,No retornó,,,Medio bajo,449,11985
1801603,8,1,1,180160000000.0,,1801603081,180160308,Nayarit,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Nayarit,,Hombre,Esposa(o) o compañera(o),,26,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,,,,,,,,,,,102,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,324,8520
505695,2,1,1,50569502101.0,50569502102.0,505695021,50569502,Coahuila de Zaragoza,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Coahuila de Zaragoza,,Hombre,Hija(o),,27,"Aquí, en este estado",,Enero,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Visa de turista,Buscar trabajo o trabajar,,,2,,,,Texas,,,Diciembre,2016.0,Otro motivo,Vencimiento de autorización migratoria,Sí,2.0,201,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,Con documento,Retornó,11.0,Menos de un año,Medio bajo,74,2526
2501688,5,1,1,250169000000.0,,2501688051,250168805,Sinaloa,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sinaloa,,Hombre,Esposa(o) o compañera(o),,56,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Arizona,ARIZONA,,,,,,,,,,240,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,55 a 59 años,30 a 59 años,Con documento,No retornó,,,Medio alto,434,11711
2604351,2,1,1,260435000000.0,,2604351021,260435102,Sonora,Localidad de 100 000 y más habitantes,Sí,En otro estado,Sinaloa,,Hombre,Esposa(o) o compañera(o),,45,"Aquí, en este estado",,Junio,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Arizona,ARIZONA,,,,,,,,,,345,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,45 a 49 años,30 a 59 años,Sin documento,No retornó,,,Medio bajo,458,12440
